lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,1,8,0,valid_mcc,33,all,5,0.001,1,0.4386,0.9938,0.9651,0.7948,0.5751,0.9313,0.0348,0.1169,0.6488,12
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,5,all,5,0.001,0,0.6077,0.9848,0.9653,0.6865,0.6278,0.937,0.0497,0.1025,0.6354,9
facebook/esm2_t33_650M_UR50D,2,8,0,valid_mcc,33,all,5,0.001,1,0.555,0.9914,0.9688,0.7785,0.6421,0.9217,0.005,0.1738,0.6802,17
facebook/esm2_t33_650M_UR50D,1,6,0,valid_mcc,33,all,5,0.001,0,0.5694,0.9884,0.9667,0.7286,0.6272,0.9304,0.0201,0.1273,0.6564,11
facebook/esm2_t33_650M_UR50D,3,8,0,valid_mcc,33,all,5,0.001,1,0.4418,0.9936,0.9651,0.7914,0.5759,0.9187,0.0216,0.1523,0.6371,12
facebook/esm2_t33_650M_UR50D,2,6,0,valid_mcc,33,all,5,0.001,0,0.4418,0.9952,0.9665,0.8343,0.593,0.9221,0.0185,0.1701,0.6538,12
facebook/esm2_t33_650M_UR50D,4,8,0,valid_mcc,33,all,5,0.001,1,0.6124,0.985,0.9657,0.6906,0.6325,0.9429,0.0064,0.142,0.6691,18
facebook/esm2_t33_650M_UR50D,3,6,0,valid_mcc,33,all,5,0.001,0,0.4609,0.9936,0.966,0.7961,0.5905,0.9318,0.0588,0.1067,0.6454,8
facebook/esm2_t33_650M_UR50D,1,8,0,valid_mcc,5,all,5,0.001,1,0.512,0.9924,0.9675,0.7868,0.6194,0.9214,0.0064,0.1698,0.6581,14
facebook/esm2_t33_650M_UR50D,2,8,0,valid_mcc,5,all,5,0.001,1,0.5279,0.9915,0.9675,0.7734,0.6234,0.9288,0.0021,0.2227,0.6536,19
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,0,0.3381,0.99,0.9562,0.6483,0.4485,0.8809,0.065,0.1534,0.4505,13
facebook/esm2_t33_650M_UR50D,3,8,0,valid_mcc,5,all,5,0.001,1,0.5439,0.9882,0.9651,0.7149,0.606,0.9287,0.0064,0.1807,0.6555,15
facebook/esm2_t33_650M_UR50D,1,6,0,valid_mcc,5,all,5,0.001,0,0.5598,0.9895,0.9673,0.7452,0.6296,0.9267,0.0021,0.2049,0.6605,20
facebook/esm2_t33_650M_UR50D,4,8,0,valid_mcc,5,all,5,0.001,1,0.5136,0.9904,0.9657,0.7454,0.6021,0.9329,0.0085,0.1787,0.6432,14
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,33,all,5,0.001,1,0.5582,0.9887,0.9664,0.7292,0.6211,0.9312,0.0232,0.1299,0.6443,11
facebook/esm2_t33_650M_UR50D,2,6,0,valid_mcc,5,all,5,0.001,0,0.5566,0.9893,0.9669,0.7394,0.625,0.9348,0.0035,0.2158,0.6574,19
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,33,all,5,0.001,1,0.6013,0.9827,0.9629,0.6545,0.6079,0.9301,0.0229,0.1354,0.6508,11
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,33,all,5,0.001,1,0.6013,0.9838,0.964,0.6696,0.6157,0.9256,0.0047,0.1884,0.6603,17
facebook/esm2_t33_650M_UR50D,3,6,0,valid_mcc,5,all,5,0.001,0,0.5263,0.9909,0.9669,0.7604,0.6166,0.926,0.0021,0.2252,0.6535,17
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,1,0.5455,0.9902,0.9672,0.7533,0.6249,0.9259,0.0065,0.187,0.6612,17
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,5,all,5,0.001,0,0.4928,0.994,0.968,0.8175,0.6203,0.9338,0.0032,0.213,0.6541,17
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,5,all,5,0.001,1,0.5439,0.993,0.9698,0.81,0.6494,0.934,0.0,0.2501,0.6594,26
facebook/esm2_t33_650M_UR50D,1,8,0,valid_mcc,33,all,5,0.001,0,0.5343,0.9438,0.9226,0.3418,0.3884,0.8707,0.0985,0.1964,0.373,10
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,5,all,5,0.001,1,0.488,0.9936,0.9674,0.8053,0.6121,0.9338,0.0052,0.2113,0.6431,15
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,5,all,5,0.001,1,0.5534,0.9878,0.9653,0.7125,0.6104,0.9344,0.0494,0.1096,0.6317,9
facebook/esm2_t33_650M_UR50D,2,8,0,valid_mcc,33,all,5,0.001,0,0.4003,0.9834,0.9532,0.5692,0.4539,0.8593,0.0059,0.3078,0.4673,19
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,5,all,5,0.001,1,0.5821,0.9882,0.9672,0.73,0.6352,0.9369,0.0061,0.2,0.6432,18
