param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
21,0.5917,0.9912,0.9705,0.786,0.6673,0.9349,0.002,0.1534,0.6802,22
21,0.614,0.9896,0.9702,0.7639,0.6697,0.9355,0.0092,0.1357,0.6701,18
21,0.638,0.987,0.9689,0.7286,0.6656,0.9407,0.0053,0.1313,0.6841,19
21,0.6061,0.9887,0.9689,0.7451,0.6561,0.9401,0.012,0.1256,0.6755,17
21,0.6124,0.9885,0.969,0.7442,0.6593,0.9319,0.0048,0.1512,0.6924,20
21,0.563,0.9922,0.9699,0.7968,0.6552,0.9343,0.0015,0.1571,0.6904,24
21,0.5837,0.9902,0.9692,0.7657,0.6531,0.9436,0.0088,0.1265,0.6859,18
21,0.5152,0.9932,0.9684,0.8055,0.6295,0.9333,0.0072,0.1506,0.6831,18
21,0.5933,0.9901,0.9695,0.7654,0.6586,0.9239,0.0093,0.1293,0.6705,18
22,0.6746,0.9816,0.9657,0.6672,0.6528,0.9398,0.04,0.3936,0.6716,12
22,0.6459,0.9855,0.9679,0.7093,0.6601,0.9358,0.0172,0.449,0.6669,13
22,0.5821,0.988,0.967,0.7256,0.6331,0.9151,0.0193,0.6935,0.6525,14
22,0.7065,0.9727,0.9589,0.586,0.6221,0.9465,0.0495,0.328,0.6656,10
22,0.6236,0.9873,0.9684,0.7281,0.6575,0.9278,0.0149,0.5876,0.6712,16
22,0.6396,0.9868,0.9688,0.7251,0.6648,0.9258,0.0056,0.5983,0.6668,19
22,0.6252,0.9878,0.969,0.7368,0.6628,0.9268,0.0141,0.6714,0.6642,16
22,0.6555,0.986,0.9689,0.7185,0.67,0.9172,0.0104,0.5963,0.666,16
22,0.6842,0.9807,0.9653,0.659,0.6532,0.9352,0.0255,0.397,0.6696,16
22,0.6188,0.9882,0.9691,0.7419,0.6617,0.9194,0.007,0.625,0.6823,26
22,0.6858,0.9774,0.9623,0.6241,0.6344,0.9488,0.1184,0.2894,0.659,8
14,0.5455,0.9921,0.9689,0.7898,0.6414,0.9121,0.004,0.1747,0.6637,15
22,0.622,0.9842,0.9655,0.683,0.6337,0.9153,0.0202,0.6341,0.6542,15
14,0.5885,0.9903,0.9695,0.7688,0.6574,0.9128,0.0018,0.1966,0.6812,17
22,0.6587,0.9835,0.9667,0.686,0.6547,0.9342,0.0262,0.483,0.6558,11
14,0.5774,0.9905,0.9691,0.7686,0.6508,0.9237,0.0096,0.1554,0.6663,12
14,0.5869,0.9913,0.9703,0.7863,0.6647,0.9224,0.0037,0.1664,0.675,14
22,0.6204,0.9865,0.9675,0.7151,0.6492,0.9147,0.0052,0.647,0.6741,17
14,0.5646,0.9896,0.9676,0.7484,0.6339,0.9292,0.0207,0.1171,0.6746,10
14,0.5614,0.9924,0.9701,0.8018,0.6565,0.922,0.004,0.1662,0.6773,18
22,0.6555,0.9842,0.9672,0.6943,0.6574,0.9225,0.0193,0.6887,0.6686,16
